"HBID","dti_dtitk_jhutract_fa_atr_l","dti_dtitk_jhutract_fa_atr_r","dti_dtitk_jhutract_fa_cst_l","dti_dtitk_jhutract_fa_cst_r","dti_dtitk_jhutract_fa_cgc_l","dti_dtitk_jhutract_fa_cgc_r","dti_dtitk_jhutract_fa_cgh_l","dti_dtitk_jhutract_fa_cgh_r","dti_dtitk_jhutract_fa_forceps_mjor","dti_dtitk_jhutract_fa_forceps_minor","dti_dtitk_jhutract_fa_ifo_l","dti_dtitk_jhutract_fa_ifo_r","dti_dtitk_jhutract_fa_ilf_l","dti_dtitk_jhutract_fa_ilf_r","dti_dtitk_jhutract_fa_slf_l","dti_dtitk_jhutract_fa_slf_r","dti_dtitk_jhutract_fa_uf_l","dti_dtitk_jhutract_fa_uf_r"
3951779362,0.37457,0.35575,0.50823,0.54874,0.54811,0.52865,0.34963,0.36729,0.59593,0.4249,0.43768,0.44768,0.43949,0.48034,0.35702,0.37048,0.41818,0.37367
1445822964,0.35358,0.34337,0.54772,0.55719,0.53914,0.53238,0.36794,0.32282,0.59135,0.42209,0.41131,0.41776,0.43061,0.43312,0.33481,0.35421,0.35853,0.39767
2616503795,0.37269,0.35871,0.53777,0.54303,0.53056,0.49648,0.46061,0.41575,0.56539,0.4231,0.42094,0.43004,0.41876,0.44728,0.3367,0.35831,0.39737,0.42114
1497791373,0.38765,0.37808,0.53965,0.54974,0.54896,0.49476,0.39873,0.40495,0.55543,0.44639,0.44742,0.45999,0.45146,0.47975,0.36667,0.38092,0.41564,0.4438
809696316,0.36767,0.36577,0.50273,0.50498,0.59512,0.57199,0.47813,0.40476,0.59383,0.43564,0.43307,0.43163,0.45929,0.48815,0.35572,0.37526,0.41989,0.43538
2529281397,0.3951,0.37336,0.53789,0.53853,0.54696,0.55453,0.37535,0.33896,0.5686,0.4367,0.43738,0.44414,0.42672,0.43891,0.35985,0.38898,0.38264,0.39891
151035426,0.36551,0.34273,0.53603,0.51949,0.52505,0.51833,0.3629,0.35198,0.56806,0.42243,0.42156,0.42527,0.45063,0.45893,0.33738,0.36164,0.36975,0.37686
1094642261,0.39678,0.38834,0.55931,0.55509,0.5728,0.54274,0.45522,0.44557,0.63705,0.45602,0.45905,0.45982,0.46332,0.50751,0.3733,0.38484,0.44882,0.42813
495104354,0.3878,0.35716,0.54432,0.54006,0.45755,0.42933,0.4035,0.37909,0.59449,0.42914,0.42129,0.4306,0.41802,0.41507,0.35676,0.36801,0.38118,0.38108
886281217,0.38408,0.3664,0.53137,0.53553,0.56932,0.58004,0.38134,0.39736,0.57207,0.41343,0.43359,0.43626,0.41391,0.4354,0.35254,0.37836,0.41936,0.43954
1186286400,0.36359,0.35727,0.51654,0.5203,0.54747,0.48027,0.42368,0.37071,0.60752,0.42577,0.41303,0.42357,0.44245,0.45485,0.36086,0.381,0.36857,0.39831
64650339,0.38892,0.36138,0.53936,0.5319,0.58346,0.56127,0.36434,0.36471,0.57276,0.42716,0.44,0.45235,0.44648,0.47218,0.38038,0.38543,0.44319,0.41518
1756317320,0.40793,0.37033,0.57222,0.56782,0.55177,0.51527,0.40006,0.41776,0.58411,0.43602,0.45264,0.42675,0.45683,0.46796,0.37256,0.39235,0.40366,0.42477
1557931441,0.36089,0.33832,0.52035,0.53139,0.51015,0.49376,0.38858,0.43357,0.58335,0.41168,0.41269,0.43219,0.44472,0.45475,0.34635,0.35258,0.38628,0.36872
2935809726,0.39103,0.366,0.55308,0.56724,0.53073,0.45655,0.41244,0.39608,0.58655,0.45003,0.42876,0.44966,0.40936,0.46293,0.33727,0.37163,0.40953,0.42007
1852674447,0.4076,0.39277,0.5463,0.57027,0.57195,0.53969,0.44902,0.43977,0.59346,0.45319,0.46543,0.46543,0.46507,0.51452,0.37324,0.40945,0.44787,0.47969
