"HBID","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","raw_PRS","Standardized_PRS","Residual_PRS"
"823266283",0.0454,-0.0146,0.0085,0.0014,0.0124,0.0375,-0.0031,-0.0106,-0.001,-0.0067,-2.10868e-08,0.637059429806276,-0.663910920994913
"1876878108",-0.0026,0.0181,-2e-04,-0.0065,0.0124,0.0025,-0.0012,-0.009,-0.0015,0.0036,-1.22127e-07,-0.911483757132271,-0.763779499387771
"2689213525",-0.011,-0.0065,0.0075,-0.0095,0.0173,0.0068,-5e-04,6e-04,-0.0066,-5e-04,-7.00162e-08,-0.112833078432929,0.0911017430540625
"4089352538",0.013,0.0127,-0.0076,0.0031,-0.0105,-0.0182,-0.0135,-0.0093,0.0019,0.0066,-6.78884e-08,-0.0802223928526567,-0.262241237972778
"2551366300",-0.0054,0.0158,-0.0031,0.0043,-0.0138,0.0112,0.0018,0.0014,0.0117,0.0047,-5.67107e-08,0.0910871570160392,0.124957941303809
"2293229991",0.0408,-0.0056,-0.0068,-0.0195,-0.0032,0.0279,-0.0026,-0.0044,-0.0027,0.0128,-4.60867e-08,0.253910694756811,-0.969253172320572
"598868312",-0.0109,0.0045,-0.0186,0.0103,-0.0059,0.0112,0.0053,0.0116,-4e-04,-0.0075,-2.27209e-08,0.612015195711567,1.01185796921809
"746650765",-0.0045,-0.0257,-0.0154,0.0061,-0.0018,0.0087,0.0052,-0.0017,-0.015,0.0215,3.84194e-08,1.54905208808093,1.70635289076253
"3783927011",-7e-04,0.0288,0.0035,0.0174,-0.0017,-0.0021,-0.0027,-0.0074,-0.0023,-0.005,-1.5799e-07,-1.46112047908232,-1.32418237744554
"3815003769",-0.0137,-0.0013,0.0164,0.0024,0.0265,-0.0018,-9e-04,-0.0247,-0.0105,-0.0271,-6.98536e-08,-0.11034106909213,0.357059310529769
"757962139",-0.0027,0.0012,-0.0048,-0.0275,0.0046,-0.0082,-0.0052,-0.0063,-0.0057,0.0055,-7.31968e-08,-0.161578988084501,-0.109661114746688
"1746577983",-0.0143,0.005,0.015,0.0195,0.0012,0.0113,-0.0173,-0.0123,-0.0132,-0.0033,-8.7965e-08,-0.387916579393167,-0.17975224990082
"3012584328",0.0072,0.002,0.014,0.0103,-0.0063,0.0068,-0.0092,9e-04,-0.0086,-0.0032,-1.09861e-07,-0.723494909812212,-1.09611100950045
"4127563642",-0.0019,0.0285,0.0157,-0.006,-0.0108,0.0072,-0.0081,-0.0091,-0.003,-0.0015,-8.44854e-08,-0.334588192540495,-0.555688000198551
"813652829",0.0017,-0.0188,-0.0014,-0.0103,0.0097,-0.0096,0.0252,-0.003,0.0075,-0.016,-6.7379e-08,-0.0724153229990093,0.055893019159083
"4259199501",-0.0038,0.024,-8e-04,0.0175,0.0054,-0.0055,0.0134,0.0101,0.0054,-0.0018,-1.76649e-07,-1.74708851284597,-1.42425382037091
"3317917409",0.001,-0.0101,-0.0043,0.0114,0.0011,-0.0066,0.012,0.002,-8e-04,5e-04,-5.78141e-08,0.0741764368030151,0.211298887336262
"3117707170",-8e-04,0.0307,0.0119,9e-04,-8e-04,-0.0077,-0.0124,-1e-04,8e-04,0.0077,-1.2569e-07,-0.966090333277826,-1.01629113265304
"149284155",0.0162,0.0186,0.016,-0.0109,-0.0121,0.0033,0.0088,0.0108,0.0078,-0.0031,8.39024e-08,2.2461250330229,1.57612443163076
"3028911266",-0.0086,-0.0225,-0.005,-0.0045,0.0123,-4e-04,0.0085,0.0082,0.008,0.0134,-6.1259e-08,0.0213798625218418,0.288589388497231
"42788328",-0.0095,0.02,4e-04,0.0238,0.0149,0.0115,0.0279,-0.0077,0.0154,-0.0093,-7.61875e-08,-0.207414488302999,0.31856893641202
"2084866133",0.0152,-1e-04,0.0173,0.0084,0.011,0.0072,0.0033,-0.0082,-0.0053,-0.0111,6.66409e-08,1.98157509922091,1.56581464001119
"2870748482",0.0158,-0.0069,0.015,-0.0101,0.0151,-6e-04,0.0147,0.011,-0.0018,-0.008,-1.70022e-08,0.699660053136092,0.253886395269884
"1112962624",-0.0037,0.0061,-0.009,0.006,0.0113,0.0039,0.0088,0.0026,0.0143,0.007,-1.99385e-07,-2.09554069225808,-1.80739091943178
"3387355046",0.0045,0.0065,-0.0197,0.0053,0.0049,0.004,-0.025,-0.0118,-0.0122,0.0062,-1.78259e-07,-1.77176339008267,-1.68390336251019
"3772055951",-0.0117,0.0088,0.0228,0.0112,0.0257,-0.0044,0.0183,0.0015,0.0068,-0.0098,-1.04112e-07,-0.635385674263295,-0.240379614972856
"1052440728",0.005,-0.0187,-0.0118,-0.0035,0.0029,-0.0261,0.0107,0.0197,-0.0103,0.0261,-1.4079e-08,0.744461047631933,0.820221271573107
"2117587533",0.0054,0.0338,-0.0154,0.0055,-0.006,-0.0074,-0.0048,-0.0032,-0.0031,0.0142,-4.5832e-09,0.889993780094172,0.979585440068413
"3199141611",-0.0035,-0.0036,0.005,0.0107,0.0085,0.0069,-0.0011,0.0117,-0.008,0.0152,-1.16643e-08,0.781468765683763,0.819887722373967
"4083452926",-5e-04,0.0203,0.0012,-0.0078,0.0148,-0.0041,0.0089,-0.0134,0.001,-0.0051,-8.62803e-08,-0.362096849156733,-0.167642403938057
"1633342103",-0.0103,0.0087,0.0081,-0.0344,-0.0224,0.0023,0.0144,-0.0046,0.0066,-0.0069,-7.53152e-08,-0.194045609164137,-0.303603167343744
"3293129669",0.0174,0.0169,-0.0138,0.0091,-0.0034,-0.0271,0.0053,0.0116,0.0113,0.0094,-1.11192e-07,-0.743893830061927,-0.816127752151869
"197397999",0.0065,-0.0111,-0.0099,0.0245,-0.0082,-0.0209,0.0072,0.0158,-0.0157,0.0185,-3.88296e-08,0.365133087051479,0.436631214164901
"1400607245",-0.009,-0.003,-0.0136,-0.0076,-0.0351,0.0086,-0.0167,-9e-04,0.0029,0,-1.26293e-07,-0.975331917733557,-1.0195883593244
"841643001",-0.0135,0.0175,-0.0241,-0.0278,0.0158,0.0049,0.0157,0.0059,0.0083,0.0248,-7.68995e-08,-0.218326607925687,0.315101401682561
"767903171",-0.0115,-0.0168,-0.0118,0.0132,-6e-04,0.0123,-0.0027,0.022,-0.0257,0.0214,-8.84367e-08,-0.395145858643197,-0.146788315071044
"1533641004",0.0085,-0.0146,-0.0099,0.015,-0.0098,-0.0166,-0.0015,-0.0086,-3e-04,-0.0088,-6.02376e-08,0.0370338498569721,0.0503208091261667
"2227325268",-0.011,0.019,0.0083,-0.0094,-0.0224,0.0061,0.0132,0.0101,0.0057,-0.0036,-1.50292e-08,0.729898272259072,0.712686698343616
"1583344736",-0.0092,1e-04,0.0066,0.0062,0.0153,-0.0053,0.0078,0.0125,0.013,-3e-04,-5.3728e-08,0.136800049148889,0.460129970104847
"1992687914",-0.0136,-0.0132,0.0034,-6e-04,0.0096,0.0037,0.0107,0.0109,0.0027,0.0231,-1.10618e-07,-0.73509669991667,-0.464544418366114
"4183804890",-0.0107,0.0023,0.0069,0.0132,0.0066,-0.0012,0.0106,0.0125,-0.0054,0.0087,-5.56491e-08,0.107357249981552,0.400246392615057
"4272488825",0.027,-0.0092,0.0032,0.001,-0.0023,-0.0097,-0.0017,0.0101,-9e-04,-0.009,-3.59081e-08,0.409908027329121,-0.239094126536018
"2713567056",-0.0053,-0.0083,-0.0075,-0.0019,0.0078,-0.0056,0.0027,-0.0018,-0.0171,-0.0137,-8.11029e-09,0.835937560993071,1.14038663046479
"230187175",-2e-04,-0.0161,-0.0029,-0.0113,0.0069,-0.0076,-0.02,0.0102,-0.014,0.0039,-7.40087e-08,-0.17402217617672,-0.213941454361305
"4067196456",-0.0086,0.0055,-0.0208,-0.0037,-0.0023,0.0021,0.0082,0.0029,0.0084,-0.0149,-1.0315e-07,-0.620642051964102,-0.194484055955623
"4199405436",-0.0134,0.0064,0.0434,0.0018,0.0045,9e-04,-0.0377,0.0027,-0.0138,-0.0085,-7.87392e-08,-0.246521869821554,-0.429256545194857
"1947279272",-0.003,0.0112,-0.0156,0.0038,0.0065,-0.0014,-9e-04,5e-04,0.002,-0.0105,-4.33167e-08,0.29636374441249,0.640517123327994
"2232363465",-0.0074,0.0237,0.0028,-0.0065,0.0098,0.0101,-0.0143,0.0022,-0.0049,0.0226,-4.03825e-08,0.341333325026099,0.418225080645929
"514408904",-0.003,-0.0227,-0.0073,-5e-04,-0.0312,0.0041,-0.0047,-0.0029,-0.0015,-0.002,6.29757e-08,1.9254022047812,1.77126946379839
"3529879330",-0.0055,-0.0026,0.0112,2e-04,0.0096,-0.0111,-0.0011,0.0091,0.0026,-0.0044,-5.68737e-08,0.0885890172709577,0.225091856078369
"3700039913",0.0013,0.01,-0.0118,0.001,-0.0036,-0.0058,0.0139,0.0034,1e-04,0.0032,-4.77107e-08,0.229021253370232,0.379431733168001
"106238410",0.0025,-0.0034,0.004,0.007,-0.0124,-0.0179,0.0067,-0.0022,0.0132,-0.0068,4.51834e-09,1.02948407957545,1.01841325773784
"1099933356",0.0244,0.0237,-0.0128,-0.0197,0.0052,7e-04,3e-04,0.0037,0.0067,0.0061,-3.57818e-09,0.905396727373938,0.421991009216695
"3310555389",-0.0124,-0.008,0.002,0.0175,0.0029,0.0181,-0.0199,-0.001,-0.0109,0.0099,-8.24339e-08,-0.303146881577092,-0.124803946617975
"1858524371",-0.0029,-0.0153,-0.0082,-0.0028,0.0069,-0.003,0.0041,-0.0045,5e-04,-0.0165,-2.17003e-07,-2.36555434887676,-2.13258435110165
"3616365186",-0.0101,-0.0132,-0.0045,0.0015,0,0.0051,-0.0027,-0.0027,-0.0012,8e-04,-6.17229e-08,0.0142701261553186,0.247711547348742
"349491862",0.004,0.0051,0.0173,-2e-04,0.0186,-0.0219,-0.0042,0.0112,-0.0124,0.0302,-6.21406e-08,0.00786845148341329,-0.077856281387324
"772823545",-0.0141,0.0283,0.0076,0.0218,0.0078,0.0118,8e-04,0.0087,-0.0057,0.0163,-1.75854e-07,-1.73490433433469,-1.38564229434991
"2718856090",0.006,0.0012,0.0245,-0.0085,-0.0158,-0.0128,-0.0094,0.0044,-0.0054,0.0031,8.82877e-09,1.09554577590301,0.582690000103825
"3512730424",-0.0075,0.0212,0.0069,0.005,0.0194,0,0.0036,-0.0073,0.0035,-0.0048,-3.75575e-08,0.384629305270609,0.730672151486823
